replicate_name	sample_name	read1	read2
165-2068-2_S77	165	165-2068-2_S77_R1_001.fastq.gz	165-2068-2_S77_R2_001.fastq.gz
165-2068-3_S76	165	165-2068-3_S76_R1_001.fastq.gz	165-2068-3_S76_R2_001.fastq.gz
165-2068_S77	165	165-2068_S77_R1_001.fastq.gz	165-2068_S77_R2_001.fastq.gz
165-E10_S57	165	165-E10_S57_R1_001.fastq.gz	165-E10_S57_R2_001.fastq.gz
166-2383_S33	166	166-2383_S33_R1_001.fastq.gz	166-2383_S33_R2_001.fastq.gz
166-2536_S33	166	166-2536_S33_R1_001.fastq.gz	166-2536_S33_R2_001.fastq.gz
166-2543_S32	166	166-2543_S32_R1_001.fastq.gz	166-2543_S32_R2_001.fastq.gz
166-2607_S32	166	166-2607_S32_R1_001.fastq.gz	166-2607_S32_R2_001.fastq.gz
167-2068-2_S85	167	167-2068-2_S85_R1_001.fastq.gz	167-2068-2_S85_R2_001.fastq.gz
167-2068-3_S84	167	167-2068-3_S84_R1_001.fastq.gz	167-2068-3_S84_R2_001.fastq.gz
167-2068_S85	167	167-2068_S85_R1_001.fastq.gz	167-2068_S85_R2_001.fastq.gz
167-E11_S58	167	167-E11_S58_R1_001.fastq.gz	167-E11_S58_R2_001.fastq.gz
168-2383_S34	168	168-2383_S34_R1_001.fastq.gz	168-2383_S34_R2_001.fastq.gz
168-2536_S34	168	168-2536_S34_R1_001.fastq.gz	168-2536_S34_R2_001.fastq.gz
168-2543_S33	168	168-2543_S33_R1_001.fastq.gz	168-2543_S33_R2_001.fastq.gz
168-2607_S33	168	168-2607_S33_R1_001.fastq.gz	168-2607_S33_R2_001.fastq.gz
17-2383_S2	17	17-2383_S2_R1_001.fastq.gz	17-2383_S2_R2_001.fastq.gz
17-2536_S2	17	17-2536_S2_R1_001.fastq.gz	17-2536_S2_R2_001.fastq.gz
17-2543_S2	17	17-2543_S2_R1_001.fastq.gz	17-2543_S2_R2_001.fastq.gz
17-2607_S2	17	17-2607_S2_R1_001.fastq.gz	17-2607_S2_R2_001.fastq.gz
170-2383_S35	170	170-2383_S35_R1_001.fastq.gz	170-2383_S35_R2_001.fastq.gz
170-2536_S35	170	170-2536_S35_R1_001.fastq.gz	170-2536_S35_R2_001.fastq.gz
170-2543_S34	170	170-2543_S34_R1_001.fastq.gz	170-2543_S34_R2_001.fastq.gz
170-2607_S34	170	170-2607_S34_R1_001.fastq.gz	170-2607_S34_R2_001.fastq.gz
172-2389_S48	172	172-2389_S48_R1_001.fastq.gz	172-2389_S48_R2_001.fastq.gz
172-2478_S48	172	172-2478_S48_R1_001.fastq.gz	172-2478_S48_R2_001.fastq.gz
172-D12-2537_S48	172	172-D12-2537_S48_R1_001.fastq.gz	172-D12-2537_S48_R2_001.fastq.gz
